customer_id,customer_name,email,phone,city,state,registration_date
CUST00001,Aryan Maharaj,udantdewan@example.net,+918196001338,Kishanganj,Gujarat,2026-02-25
CUST00002,Thomas Sen,abeer26@example.com,02351161559,Varanasi,Telangana,2025-06-04
CUST00003,Kritika Brar,janaki93@example.net,+910341316475,Uluberia,Kerala,2023-04-19
CUST00004,Ekbal Garg,nihalshere@example.com,08350305641,Tezpur,Tamil Nadu,2024-03-11
CUST00005,Xalak Randhawa,qdhar@example.org,+918849696532,Mysore,Tripura,2021-12-01
CUST00006,Michael Dutta,ybhatt@example.com,7848018451,Raebareli,Goa,2025-05-17
CUST00007,Adya Tella,yashicacherian@example.net,08932528809,Unnao,Andhra Pradesh,2022-06-20
CUST00008,Damyanti Khatri,khoslafarhan@example.org,7182278248,Rajpur Sonarpur,Nagaland,2023-03-24
CUST00009,Mohini Prakash,cvarughese@example.org,+913150983930,Allahabad,Haryana,2022-02-02
CUST00010,Ganga Bobal,aryasunder@example.org,2997376311,Raichur,Maharashtra,2025-01-05
CUST00011,Chatura Chaudhari,rauharinakshi@example.org,+913387262473,Mango,Uttar Pradesh,2026-03-13
CUST00012,Chandresh Zachariah,chanderwarjas@example.org,07736026064,Baranagar,Maharashtra,2026-03-30
CUST00013,Mohammed Gupta,teerth09@example.net,0500978820,Gaya,Assam,2022-02-04
CUST00014,Netra Dar,balveerbumb@example.com,9985435346,Dewas,Manipur,2024-03-16
CUST00015,Aditya Shanker,borahtanay@example.net,02513542784,Begusarai,Jharkhand,2022-05-25
CUST00016,Aishani D’Alia,dugalanita@example.com,3534874016,Varanasi,Andhra Pradesh,2024-05-09
CUST00017,Adweta Edwin,jsane@example.org,+911280598262,Aizawl,Kerala,2021-11-08
CUST00018,Shivansh Krish,pandyaniharika@example.net,2322602563,Kozhikode,Uttar Pradesh,2022-06-08
CUST00019,Balvan Singhal,ryansharma@example.com,03303654145,Jorhat,Karnataka,2021-10-01
CUST00020,Advika Gokhale,balvan19@example.com,05698169340,Mumbai,Mizoram,2026-02-04
CUST00021,Januja Sankar,narayanandipta@example.net,+914846564823,Nadiad,Sikkim,2022-12-30
CUST00022,Nidra Acharya,bhavini36@example.net,5777387214,Tiruchirappalli,Uttarakhand,2023-07-07
CUST00023,Umang Issac,aryanbatra@example.org,09176936763,Kolkata,Tripura,2022-06-04
CUST00024,Theodore Goda,jbedi@example.org,+917278895798,Motihari,Manipur,2022-11-14
CUST00025,Shivani Lad,aradhanaverma@example.com,3471434558,Durgapur,Chhattisgarh,2023-06-26
CUST00026,Michael Kala,sachdevanikita@example.com,7603669096,Chennai,Kerala,2024-01-21
CUST00027,Oni Yohannan,vinayakanda@example.com,07065627298,Singrauli,Odisha,2026-04-26
CUST00028,Fiyaz Sangha,triyagopal@example.org,06537556464,Nandyal,Andhra Pradesh,2026-02-07
CUST00029,Inaya Kapur,bariaazaan@example.org,+910923271937,Arrah,Goa,2022-06-28
CUST00030,Deepa Chokshi,munikeya@example.com,3193149190,Katihar,Maharashtra,2024-09-01
CUST00031,Yashawini Om,salvivrishti@example.org,05726284987,Junagadh,Uttarakhand,2023-10-19
CUST00032,Yatan Chadha,shravya37@example.net,6507527354,Parbhani,Punjab,2023-11-13
CUST00033,Zansi Halder,khurananiharika@example.com,3777014363,Amaravati,Kerala,2025-07-17
CUST00034,Pavani Narayanan,sudiksha44@example.com,+911351823374,Salem,Uttarakhand,2023-03-03
CUST00035,Utkarsh Patel,chasmumatwal@example.net,2400842710,Nandyal,Meghalaya,2025-04-06
CUST00036,Qarin Behl,vanya11@example.com,01902294131,Medininagar,Punjab,2023-06-09
CUST00037,Shravya Savant,pushti49@example.net,+919133412328,Sangli-Miraj & Kupwad,Andhra Pradesh,2024-12-28
CUST00038,Upma Manne,katabhavya@example.net,07134936183,Shimoga,Uttarakhand,2022-09-22
CUST00039,Darpan Gandhi,bhavya71@example.com,4648877190,North Dumdum,Punjab,2023-08-24
CUST00040,Gavin Karnik,luthrabanjeet@example.org,08742967175,Thoothukudi,Karnataka,2022-05-28
CUST00041,Forum Sabharwal,qmani@example.com,0715451680,Haridwar,Arunachal Pradesh,2023-02-10
CUST00042,Wishi Sathe,janiamara@example.net,+914771093248,Suryapet,Maharashtra,2022-04-23
CUST00043,Ishaan Shenoy,dubewishi@example.net,08467737826,Khora ,Mizoram,2022-09-05
CUST00044,Anya Sachdeva,yashica40@example.com,4997278755,Sirsa,Karnataka,2023-02-14
CUST00045,Leela Kaur,ubassi@example.net,06627028951,Salem,Mizoram,2025-05-27
CUST00046,Maanas Rout,falansingh@example.com,09615865780,Noida,Rajasthan,2023-12-17
CUST00047,Gautam Saraf,chaudhrysachi@example.org,4005045562,Bettiah,Maharashtra,2026-05-01
CUST00048,Onkar Gill,rajawridesh@example.com,2374740748,Srinagar,Manipur,2024-06-15
CUST00049,Panini Krishna,mmittal@example.com,01369594406,Bangalore,Odisha,2021-12-07
CUST00050,Bhavini Karpe,theodore39@example.com,2104709521,Khammam,Telangana,2025-01-18
CUST00051,Sai Deo,yachana42@example.com,04517123685,Tenali,Andhra Pradesh,2023-10-07
CUST00052,Suhani Pillay,lakshmi51@example.net,+917098593174,Bhiwandi,Chhattisgarh,2021-11-25
CUST00053,Daksha Tailor,chatterjeewahab@example.net,+916758692617,Parbhani,Arunachal Pradesh,2024-09-01
CUST00054,Sachi Saxena,jananichaudhary@example.net,08506431713,Dhanbad,Uttar Pradesh,2024-05-09
