customer_id,customer_name,email,phone,city,state,registration_date
CUST00001,Aryan Maharaj,udantdewan@example.net,918196001338.0,Kishanganj,Gujarat,2026-02-25
CUST00002,Thomas Sen,abeer26@example.com,2351161559.0,Varanasi,Telangana,2025-06-04
CUST00003,Kritika Brar,janaki93@example.net,910341316475.0,Uluberia,Kerala,2023-04-19
CUST00004,Ekbal Garg,nihalshere@example.com,8350305641.0,Tezpur,Tamil Nadu,2024-03-11
CUST00005,Xalak Randhawa,qdhar@example.org,918849696532.0,Mysore,Tripura,2021-12-01
CUST00006,Michael Dutta,ybhatt@example.com,7848018451.0,Raebareli,Goa,2025-05-17
CUST00007,Adya Tella,cust00007@generated.com,8932528809.0,Unnao,Andhra Pradesh,2022-06-20
CUST00008,Damyanti Khatri,khoslafarhan@example.org,7182278248.0,Rajpur Sonarpur,Nagaland,2023-03-24
CUST00009,Mohini Prakash,cvarughese@example.org,913150983930.0,Allahabad,Haryana,2022-02-02
CUST00010,Ganga Bobal,aryasunder@example.org,2997376311.0,Raichur,Maharashtra,2025-01-05
CUST00011,Chatura Chaudhari,rauharinakshi@example.org,913387262473.0,Mango,Uttar Pradesh,2026-03-13
CUST00012,Chandresh Zachariah,chanderwarjas@example.org,7736026064.0,Baranagar,Maharashtra,2026-03-30
CUST00013,Mohammed Gupta,teerth09@example.net,500978820.0,Gaya,Assam,2022-02-04
CUST00014,Netra Dar,balveerbumb@example.com,9985435346.0,Dewas,Manipur,2024-03-16
CUST00015,Aditya Shanker,borahtanay@example.net,2513542784.0,Begusarai,Jharkhand,2022-05-25
CUST00016,Aishani D’Alia,dugalanita@example.com,3534874016.0,Varanasi,Andhra Pradesh,2024-05-09
CUST00017,Adweta Edwin,jsane@example.org,911280598262.0,Aizawl,Kerala,2021-11-08
CUST00018,Shivansh Krish,pandyaniharika@example.net,2322602563.0,Kozhikode,Uttar Pradesh,2022-06-08
CUST00019,Balvan Singhal,ryansharma@example.com,3303654145.0,Jorhat,Karnataka,2021-10-01
CUST00020,Advika Gokhale,balvan19@example.com,5698169340.0,Mumbai,Mizoram,2026-02-04
CUST00021,Januja Sankar,narayanandipta@example.net,914846564823.0,Nadiad,Sikkim,2022-12-30
CUST00022,Nidra Acharya,bhavini36@example.net,5777387214.0,Tiruchirappalli,Uttarakhand,2023-07-07
CUST00023,Umang Issac,aryanbatra@example.org,9176936763.0,Kolkata,Tripura,2022-06-04
CUST00024,Theodore Goda,jbedi@example.org,917278895798.0,Motihari,Manipur,2022-11-14
CUST00025,Shivani Lad,aradhanaverma@example.com,3471434558.0,Durgapur,Chhattisgarh,2023-06-26
CUST00026,Michael Kala,sachdevanikita@example.com,7603669096.0,Chennai,Kerala,2024-01-21
CUST00027,Oni Yohannan,vinayakanda@example.com,7065627298.0,Singrauli,Odisha,2026-04-26
CUST00028,Fiyaz Sangha,cust00028@generated.com,6537556464.0,Nandyal,Andhra Pradesh,2026-02-07
CUST00029,Inaya Kapur,bariaazaan@example.org,910923271937.0,Arrah,Goa,2022-06-28
CUST00030,Deepa Chokshi,munikeya@example.com,3193149190.0,Katihar,Maharashtra,2024-09-01
CUST00031,Yashawini Om,salvivrishti@example.org,5726284987.0,Junagadh,Uttarakhand,2023-10-19
CUST00032,Yatan Chadha,shravya37@example.net,6507527354.0,Parbhani,Punjab,2023-11-13
CUST00033,Zansi Halder,khurananiharika@example.com,3777014363.0,Amaravati,Kerala,2025-07-17
CUST00034,Pavani Narayanan,sudiksha44@example.com,911351823374.0,Salem,Uttarakhand,2023-03-03
CUST00035,Utkarsh Patel,chasmumatwal@example.net,2400842710.0,Nandyal,Meghalaya,2025-04-06
CUST00036,Qarin Behl,vanya11@example.com,1902294131.0,Medininagar,Punjab,2023-06-09
CUST00037,Shravya Savant,pushti49@example.net,919133412328.0,Sangli-Miraj & Kupwad,Andhra Pradesh,2024-12-28
CUST00038,Upma Manne,katabhavya@example.net,7134936183.0,Shimoga,Uttarakhand,2022-09-22
CUST00039,Darpan Gandhi,bhavya71@example.com,4648877190.0,North Dumdum,Punjab,2023-08-24
CUST00040,Gavin Karnik,luthrabanjeet@example.org,8742967175.0,Thoothukudi,Karnataka,2022-05-28
CUST00041,Forum Sabharwal,qmani@example.com,715451680.0,Haridwar,Arunachal Pradesh,2023-02-10
CUST00042,Wishi Sathe,janiamara@example.net,914771093248.0,Suryapet,Maharashtra,2022-04-23
CUST00043,Ishaan Shenoy,dubewishi@example.net,8467737826.0,Khora ,Mizoram,2022-09-05
CUST00044,Anya Sachdeva,yashica40@example.com,4997278755.0,Sirsa,Karnataka,2023-02-14
CUST00045,Leela Kaur,ubassi@example.net,6627028951.0,Salem,Mizoram,2025-05-27
CUST00046,Maanas Rout,falansingh@example.com,9615865780.0,Noida,Rajasthan,2023-12-17
CUST00047,Gautam Saraf,chaudhrysachi@example.org,4005045562.0,Bettiah,Maharashtra,2026-05-01
CUST00048,Onkar Gill,rajawridesh@example.com,2374740748.0,Srinagar,Manipur,2024-06-15
CUST00049,Panini Krishna,mmittal@example.com,1369594406.0,Bangalore,Odisha,2021-12-07
